	G	N	R	S	Z	b	d	f	g	j	k	l	m	n	p	s	t	v	x	z
G	0																			
N	0.5	0																		
R	1	1	0																	
S	1	1	1	0																
Z	1	1	1	0.5	0															
b	1	1	1	1	1	0														
d	1	1	1	1	1	1	0													
f	1	1	1	0.5	1	1	1	0												
g	0.5	0.5	1	1	1	1	1	1	0											
j	0.5	0.5	1	1	1	1	1	1	1	0										
k	0.5	1	1	1	1	1	1	1	0.5	1	0									
l	1	1	1	1	1	1	1	1	1	1	1	0								
m	1	1	1	1	1	0.5	1	1	1	1	1	1	0							
n	1	0.5	1	1	1	1	1	1	1	1	1	0.5	0.5	0						
p	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	0					
s	1	1	1	0.5	1	1	1	0.5	1	1	1	1	1	1	1	0				
t	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	0			
v	1	1	1	1	0.5	0.5	1	0.5	1	1	1	1	1	1	1	1	1	0		
x	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
z	1	1	1	1	0.5	1	1	0.5	1	1	1	1	1	1	1	0.5	1	0.5	1	0
