	1	2	5	8	9	@	E	O	a	e	i	o	u	w	y	§	°
1	0																
2	1	0															
5	0.5	1	0														
8	1	0.5	1	0													
9	1	0.5	1	1	0												
@	0.5	1	0.5	1	1	0											
E	0.5	1	0.5	1	0.5	1	0										
O	1	0.5	1	1	0.5	1	1	0									
a	1	1	1	1	1	1	1	0.5	0								
e	1	0.5	1	1	1	1	0.5	1	1	0							
i	1	1	1	1	1	1	0.5	1	1	0.5	0						
o	1	0.5	1	1	1	1	1	0.5	1	1	1	0					
u	1	1	1	0.5	1	1	1	1	1	1	1	0.5	0				
w	1	0.5	1	1	0.5	1	1	0.5	1	1	1	0.01	0.01	0			
y	1	0.5	1	0.01	1	1	1	1	1	1	1	1	0.5	0.5	0		
§	1	1	1	1	1	0.5	1	1	1	1	1	0.5	1	1	1	0	
°	1	0.01	1	0.5	0.5	1	1	0.5	1	0.5	1	0.5	1	0.5	0.5	1	0
